Category_type ,Possible_Work ,Open_Time ,Close_Time ,Open_Time_Sat,Close_Time_Sat,Open_Time_Sun,Close_Time_Sun
establishment,1,9,17,9,17,9,17
premise,1,8,17,8,17,8,17
store,1,9,21,9,21,9,21
clothing_store,1,9,21,9,21,9,21
electronics_store,1,9,21,9,21,9,21
home_goods_store,1,9,19,9,19,9,19
grocery_or_supermarket,1,9,22,9,22,9,22
shopping_mall,1,9,21,9,21,9,21
hardware_store,1,9,17,9,17,9,17
jewelry_store,1,9,19,9,19,9,19
book_store,1,9,20,9,20,9,20
furniture_store,1,9,19,9,19,9,19
supermarket,1,9,22,9,22,9,22
shoe_store,1,9,21,9,21,9,21
department_store,1,9,21,9,21,9,21
convenience_store,1,9,21,9,21,9,21
movie_rental,1,9,20,9,20,9,20
campground,1,9,20,9,20,9,20
bicycle_store,1,9,20,9,20,9,20
pet_store,1,9,20,9,20,9,20
school,0,6.3,17,6.3,17,6.3,17
university,0,6.3,17,6.3,17,0,0
library,0,8.3,17,8.3,17,0,0
secondary_school,0,6.3,17,6.3,17,6.3,17
primary_school,0,6.3,17,6.3,17,0,0
health,1,0,24,0,24,0,24
hospital,1,0,24,0,24,0,24
doctor,0,0,24,0,24,0,24
pharmacy,0,9,22,9,22,9,22
dentist,0,9,22,9,22,9,22
physiotherapist,0,9,22,9,22,9,22
drugstore,1,9,22,9,22,9,22
park,0,9,19,9,19,9,19
night_club,1,20,2,20,2,20,2
museum,1,9,17,9,17,9,17
art_gallery,1,9,17,9,17,9,17
tourist_attraction,0,8,22,8,22,8,22
movie_theater,1,9,22,9,22,9,22
aquarium,0,9,17,9,17,9,17
stadium,1,9,19,9,19,9,19
zoo,1,9,17,9,17,9,17
casino,1,9,24,9,24,9,24
natural_feature,0,5,19,5,19,5,19
travel_agency,1,9,17,9,17,9,17
beauty_salon,1,9,20,9,20,9,20
car_repair,1,9,17,9,17,9,17
place_of_worship,0,6,21,6,21,6,21
bank,1,8.3,15,8.3,12.3,0,0
atm,0,0,24,0,24,0,24
gym,0,5,22,5,22,5,22
church,0,6,21,6,21,6,21
hair_care,1,9,20,9,20,9,20
laundry,1,9,20,9,20,9,20
car_wash,1,9,17,9,17,9,17
mosque,0,6,21,6,21,6,21
post_office,1,8.3,17,8.3,12.3,0,0
hindu_temple,0,6,21,6,21,6,21
finance,1,9,17,9,13,0,0
funeral_home,0,9,19,9,19,9,19
spa,0,9,21,9,21,9,21
embassy,1,9,17,0,0,0,0
car_rental,1,9,19,9,19,0,0
general_contractor,1,9,17,9,13,0,0
car_dealer,1,9,17,9,17,0,0
real_estate_agency,1,9,17,9,13,0,0
lawyer,0,9,17,9,13,0,0
cemetery,0,9,19,9,19,9,19
police,0,0,24,0,24,0,24
insurance_agency,1,9,17,9,13,0,0
synagogue,0,6,21,6,21,0,0
storage,1,9,19,9,19,0,0
fire_station,0,0,24,0,24,0,24
roofing_contractor,1,9,17,9,11,0,0
moving_company,1,9,17,9,13,0,0
courthouse,1,9,17,0,0,0,0
plumber,1,9,17,9,13,0,0
locksmith,1,9,17,9,13,0,0
painter,1,9,17,9,13,0,0
city_hall,0,9,19,9,13,0,0
accounting,1,9,17,9,13,0,0
electrician,1,9,17,9,13,0,0
local_government_office,1,9,17,9,13,0,0
veterinary_care,0,9,17,9,13,0,0
florist,0,9,17,9,13,0,0
lodging,0,0,24,0,24,0,24
transit_station,0,0,24,0,24,0,24
bus_station,0,0,24,0,24,0,24
train_station,0,0,24,0,24,0,24
taxi_stand,0,0,24,0,24,0,24
restaurant,1,9,21,9,21,9,21
food,1,9,21,9,21,9,21
bakery,1,9,21,9,21,9,21
cafe,1,9,21,9,21,9,21
meal_takeaway,1,9,21,9,21,9,21
meal_delivery,1,9,21,9,21,9,21
liquor_store,0,9,22,9,22,9,22
bar,0,9,22,9,22,9,22
apartment,0,0,24,0,24,0,24
recreational,0,9,22,9,22,9,22
personal,1,9,17,9,17,9,17
medical,1,0,24,0,24,0,24
shopping,1,9,21,9,21,9,21
dining,1,9,21,9,21,9,21
education,0,6.3,17,6.3,17,6.3,17
home,0,0,24,0,24,0,24
transit,0,0,24,0,24,0,24
